tweet_id,account_name,user_id,timestamp,text,links,repiles,retweets,favorites
1246631597043879936,The Nerdy Derma,1013014316927332352,7:51 PM - 4 Apr 2020,1:9? Que horror. Balat na balat ang balat mo dito  Alex.   ,https://twitter.com/joangrans97/status/1246606488665067523,Null,112,211
1246614747212132353,Joey Ⓥ,1001241827536711685,6:44 PM - 4 Apr 2020,The ,,Null,3,24
1246611083500105729,Dzung K Saenger,921377384917544960,6:30 PM - 4 Apr 2020,Sirs. Masks and gears made from antiviral materials can save medical front-liers and people? ,https://techtransfer.universityofcalifornia.edu/NCD/29109.html,Null,0,0
1246604630357954561,Sergio Siano,1107404566780432384,6:04 PM - 4 Apr 2020,Null,,Null,24,127
1246602382248759296,Eric Feigl-Ding,18831926,5:55 PM - 4 Apr 2020,Null,https://www.statnews.com/2020/04/04/cdc-launches-studies-to-get-more-precise-count-of-undetected-covid-19-cases/,Null,255,628
1246599792211394560,Governor Andy Beshear,1192549822865297409,5:45 PM - 4 Apr 2020,Kentucky adopts new ,https://go.usa.gov/xv4UQ,Null,85,366
1246598580380381184,Nightmare(Check Pinnned Tweet),963816255663697920,5:40 PM - 4 Apr 2020,This is nuts guys! ,https://www.instagram.com/p/B-lFQx5J15B/?igshid=pd551mqcudn5,Null,0,0
1246598467373412353,QuickTake by Bloomberg,252751061,5:40 PM - 4 Apr 2020,ICYMI: ,,Null,17,31
1246592214475714561,🍁Fletchy McFletchyface☘,341045866,5:15 PM - 4 Apr 2020,Ok surely this match is violating the ,,Null,0,8
1246592206653227010,Jo Stone,1110546197847130113,5:15 PM - 4 Apr 2020,Thank You ,https://wwwn.cdc.gov/DCS/ContactUs/ThankYou,Null,1,0
1246592007662972929,David Jacobs,757300766478663680,5:14 PM - 4 Apr 2020,"We are actually reviewing the science right now so we will have more recommendations in the coming days."  You don't need to review the science any further. That work has been done by the ,https://twitter.com/Gray_Mackenzie/status/1246572980202864642,Null,71,178
1246589583632076803,browndotflop,871466481191727104,5:04 PM - 4 Apr 2020,Turns out opioids ARE life-saving medications. It sounds familiar  but I just can’t quite remember where I heard it.  Hmmm  who was it again imploring the DEA not to decrease the supply again?!?!  Wait  wasn’t it the ,https://twitter.com/chadterhune/status/1245779725760344064,Null,6,14
1246585681289281536,LokolBuzz,1010559103482191872,4:49 PM - 4 Apr 2020,US deaths over 5 000  ,https://lokolbuzz.com/us-deaths-over-5000-cdc-considers-face-masks/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost,Null,0,0
1246573315763904512,QuickTake by Bloomberg,252751061,4:00 PM - 4 Apr 2020,The ,,Null,127,215
1246572522054680576,Bryan Behar,1612067526,3:57 PM - 4 Apr 2020,The ,,Null,95,523
1246567703894208513,Jim Hoft,19211550,3:37 PM - 4 Apr 2020,THIS IS NOT RIGHT-->  ,https://www.thegatewaypundit.com/2020/04/cdc-tells-hospitals-list-covid-19-cause-death-even-assumed-caused-contributed-death-lab-tests-not-required/,Null,1904,1843
1246566275775713281,Sam E. Antar,17893558,3:32 PM - 4 Apr 2020,A Public Service Message: If you ever dreamed of being an outlaw like I was  now is the time to follow ,,Null,3,14
1246555054406066176,Ethan Somers,752186490323472384,2:47 PM - 4 Apr 2020,Yesterday Trump: “naaaahhh I won’t wear face masks EVEN THOUGH the ,https://twitter.com/yamiche/status/1246552238815940608,Null,538,1534
1246554884930928641,Chris Scott,19724884,2:46 PM - 4 Apr 2020,The ,,Null,169,1767
1246552624800731136,CDC,146569971,2:38 PM - 4 Apr 2020,People over 65 and people with underlying medical conditions are at higher risk for getting seriously ill from ,http://coronavirus.gov,Null,456,929
1246632219755479040,OKReadingBook,400594158,7:54 PM - 4 Apr 2020,Null,https://tools.cdc.gov/campaignproxyservice/subscriptions.aspx?topic_id=USCDC_2067,Null,0,0
1246630775728078850,🍑Crochet Chick🍑✨,1084573268126896130,7:48 PM - 4 Apr 2020,I’ll make a better post in the AM  but I’ve had a few inquiries about masks so yes I will be selling a very limited quantity of crochet face masks and some hand sewn cotton masks! These are made with 100% cotton/lined with fleece and are ,,Null,10,23
1246630524870942721,Joe,1236766532748955650,7:47 PM - 4 Apr 2020,Null,,Null,0,7
1246629791417143298,Jim Hoft,19211550,7:44 PM - 4 Apr 2020,HUGE! From ,https://www.thegatewaypundit.com/2020/04/cdc-tells-hospitals-list-covid-19-cause-death-even-assumed-caused-contributed-death-lab-tests-not-required/,Null,275,253
1246620012850413569,Helen Branswell,28838219,7:05 PM - 4 Apr 2020,And it's called Korea ,https://twitter.com/SamanthaVpi/status/1246615616074612736,Null,21,87
1246615613113602049,Mark Miller,1015210999,6:48 PM - 4 Apr 2020,It may be the legal right to attend church in Texas tomorrow (“essential”)  but that doesn’t make it wise or safe (1 Corinthians 6:12) ,,Null,1,5
1246596665047494662,NowThis,701725963,5:33 PM - 4 Apr 2020,This Florida megachurch pastor was arrested after holding services with hundreds of people despite the government and ,https://go.nowth.is/2WW6OUp,Null,118,340
1246596134916640768,DDDX0_,1216901303953055746,5:30 PM - 4 Apr 2020,If this administration had their way  the ,,Null,7,10
1246590436464103424,Tomthunkit™,289118612,5:08 PM - 4 Apr 2020,THIS IS CLASSIC: ‘Do you wanna know who has the ,,Null,10,15
1246582835617714184,Brenna Spencer,449405724,4:38 PM - 4 Apr 2020,Null,,Null,61,144
1246581846994894848,Skye Borden,533531289,4:34 PM - 4 Apr 2020,Hey Montana — a while ago  ,,Null,7,24
1246578049853739008,Nick Walden Poublon,143159404,4:19 PM - 4 Apr 2020,Trump cannot lead by example. He’s said that he will ignore ,,Null,8,19
1246570901396570112,Robert Garcia,18120497,3:50 PM - 4 Apr 2020,We’ve released guidance on ,,Null,8,20
1246569590450262022,Neil 🇺🇸 Ⓥ #StayHome,894348543296712704,3:45 PM - 4 Apr 2020,Six feet not enough,https://www.oregonlive.com/coronavirus/2020/04/6-feet-of-social-distancing-not-nearly-enough-cdcs-recommendation-driving-some-experts-nuts.html,Null,0,9
1246569492571881474,We’reAllMadHere🐾♟🕑🗝,1246516732816175105,3:45 PM - 4 Apr 2020,Expedited articles by the ,https://wwwnc.cdc.gov/eid/,Null,4,6
1246568720652271618,Swim Jeans👖,3834819796,3:41 PM - 4 Apr 2020,ME: I’m just not going anywhere in life   THERAPIST (who is really three ,,Null,44,187
1246551779803893760,Helen Branswell,28838219,2:34 PM - 4 Apr 2020,.,https://www.statnews.com/2020/04/04/cdc-launches-studies-to-get-more-precise-count-of-undetected-covid-19-cases/,Null,175,341
1246550496434741249,MoveOn,26657119,2:29 PM - 4 Apr 2020,The ,,Null,37,43
1246549912877019136,Nomiki Konst,16879936,2:27 PM - 4 Apr 2020,Can some courageous reporter ask Dr. Fauci or the ,https://twitter.com/colinkalmbacher/status/1245813072511545346,Null,149,451
1246541228130422786,Fred Melius MD,134545232,1:52 PM - 4 Apr 2020,Put on a mask people!!!!! The ,,Null,1,2
1246630871031001090,Chuck Woolery,462104542,7:48 PM - 4 Apr 2020,HERE WE GO HUGE! From ,https://www.thegatewaypundit.com/2020/04/cdc-tells-hospitals-list-covid-19-cause-death-even-assumed-caused-contributed-death-lab-tests-not-required/,Null,230,304
1246629679437688833,michaelharriot,96149284,7:44 PM - 4 Apr 2020,5. Seriously  Coronavirus is racist.  Not only does it seem to target black areas  but the ,,Null,25,134
1246622455038390274,Logan Paul's Burner Account,1228175587446931456,7:15 PM - 4 Apr 2020,I have a question  ,,Null,0,3
1246617994031235073,Jessi Davin,21752467,6:57 PM - 4 Apr 2020,THANK YOU TO THE ,,Null,18,231
1246616735836405760,SPANK AMERICA GREAT AGAIN ®️,1245245624875958273,6:52 PM - 4 Apr 2020,The ,,Null,2,2
1246602452268462086,Alex Berenson,87679233,5:56 PM - 4 Apr 2020,Actually  on second thought  just skip the swab. Per ,,Null,68,166
1246599142371201030,Kelly Doran,1249676965,5:42 PM - 4 Apr 2020,Street sweeps in NYC still?! This is against ,https://twitter.com/safetynetujc/status/1246541246543400963,Null,6,10
1246584660341051393,Jose L Medina III,1015710308558491648,4:45 PM - 4 Apr 2020,Out getting essentials with my mask & gloves on & I notice people not practicing social distancing or utilizing masks/face coverings & gloves. Yes I understand it’s recommended but PLEASE protect yourself and your loved ones. Make sure to follow ,,Null,0,1
1246584086614794240,hope.org,987110969628246016,4:43 PM - 4 Apr 2020,God  please give our leaders the wisdom to follow. No innovation is needed  just respect for Taiwanese ,,Null,0,0
1246577723151208449,Harmony,1884947066,4:17 PM - 4 Apr 2020,In this house we follow ,,Null,1,10
1246571498359468036,GeekyGainster,884812842221932544,3:53 PM - 4 Apr 2020,Null,,Null,0,1
1246563590477209600,Exiled Consensus,1030989675106713605,3:21 PM - 4 Apr 2020,Walked passed a store looking for basic groceries & decided to not go in because it was very unclean & irresponsible  no ,,Null,52,266
1246561501525282816,Kate Stewart,3293929082,3:13 PM - 4 Apr 2020,Bridget made me a cloth mask today. Please follow the new ,,Null,1,11
1246560638400249858,Syrian Girl 🇸🇾,312696314,3:09 PM - 4 Apr 2020,They knew the importance of wearing masks 100 years ago during the Spanish flu.  Yet the ,,Null,82,220
1246552932390240258,Sam (Nickname: Joe Cool),3350030933,2:39 PM - 4 Apr 2020,Null,,Null,0,5
1246549608001671168,Logan Wilson,2284459206,2:26 PM - 4 Apr 2020,How I’m dressing to pick up my curbside orders after the ,,Null,0,2
1246541897226752012,cassronavirus,703738730,1:55 PM - 4 Apr 2020,Future: fuck it  mask off ,,Null,11,57
1246539310083510272,City of Jacksonville (COJ),137775956,1:45 PM - 4 Apr 2020,The ,,Null,13,23
1246539117393072128,Alexander Nazaryan,60087571,1:44 PM - 4 Apr 2020,NOBODY COULD HAVE PREDICTED THIS PANDEMIC EXCEPT THE COUNTLESS VIROLOGISTS AND EPIDEMIOLOGISTS WHO DID.,https://news.yahoo.com/two-years-before-coronavirus-cdc-warned-of-a-coming-pandemic-090054010.html,Null,371,1386
1246535014726205443,CDC,146569971,1:28 PM - 4 Apr 2020,Stop the spread of ,https://bit.ly/33vrmod,Null,413,685
1246602726793859072,Clara Jeffery,43412697,5:57 PM - 4 Apr 2020,“Look at how easy this was to do. Why wasn’t everybody doing it? We could have jumped on this so much faster ” said John Swartzberg  a UC Berkeley infectious disease expert. “It didn’t break my heart to read this  but it put a little dent in it.”,https://www.sfchronicle.com/health/article/Santa-Clara-County-coronavirus-study-helped-15177206.php?utm_source=newsletter&utm_medium=email&utm_content=headlines&utm_campaign=sfc_morningfix&sid=5ad93b982a077c56b0777fbd,Null,33,61
1246581696969027587,𝕋𝕚𝕒 𝔹𝕒𝕣𝕣𝕒𝕔𝕚𝕟𝕚,911919769493790720,4:33 PM - 4 Apr 2020,The dude who said we didn’t need face masks 2 weeks ago shows you how to make a face mask. May death come quickly.,https://apple.news/AC5O7VfetQ1KuBWNj25wVng,Null,6,34
1246580563567357952,Michael Henrich,32721368,4:29 PM - 4 Apr 2020,Spent most of the afternoon turning old shirts into masks for the family for when we take walks. The sewing machine was broken  so we did it by hand. I’m not good at this like Renee  but least I could do was try  so we could all adhere to the ,,Null,0,10
1246572092075782145,Mackenzie Gray,818733968,3:55 PM - 4 Apr 2020,This afternoon I asked Dr. Tam if Canada was going to follow the ,,Null,8,16
1246569193710837760,🇺🇸 JEWEL 🇺🇸,21942617,3:43 PM - 4 Apr 2020,lol nothing like opinion over fact. FACT from ,http://cdc.gov,Null,0,1
1246564015343632385,Nan Whaley,40296465,3:23 PM - 4 Apr 2020,Both the ,,Null,30,486
1246558683687014400,Axios,800707492346925056,3:02 PM - 4 Apr 2020,NEW: Trump said that America's "toughest week" is ahead. Anthony Fauci said the country should expect to see deaths continue to increase in the next week.,https://www.axios.com/coronavirus-west-virginia-first-case-ac32ce6d-5523-4310-a219-7d1d1dcb6b44.html?utm_source=twitter&utm_medium=social&utm_campaign=organic,Null,25,31
1246550095283269632,Chris Caldwell-Drake,163977777,2:27 PM - 4 Apr 2020,ERCommunity Jones Memorial UMC will be providing Spring break meals everyday starting April 6th -10th. All meals will be served with  ,,Null,2,5
1246548757455536130,They Must Be Joking,798271160412676096,2:22 PM - 4 Apr 2020,Null,,Null,0,0
1246547756895760384,BEN BALLER™ 🧢,18210908,2:18 PM - 4 Apr 2020,People are crazy and ignorant fr. You guys don’t think I want to go back to work? I had one of best years of my life and an even better one planned. What good do I do by spreading lies or worst case scenarios? I proved the surgeon general and ,,Null,40,372
1246547719637827590,Dexter Road,967125722,2:18 PM - 4 Apr 2020,Jamming today and following ,,Null,0,2
1246545077549367303,Cindy Santa Anna,2147749255,2:08 PM - 4 Apr 2020,Feds (,,Null,13,42
1246539692092334087,LotusOak,424664120,1:46 PM - 4 Apr 2020,In 1999 the ,,Null,224,202
1246535292145852416,Mississippi State Football,309451115,1:29 PM - 4 Apr 2020,BREAKING | Coach Mike Leach has resigned as the head coach of Mississippi State football effective immediately. Press conference will be held virtually at 5 p.m. as we recognize ,,Null,80,163
1246535137535373312,Travis Kauffmann,1245899764006256640,1:28 PM - 4 Apr 2020,Null,,Null,0,0
1246531922064523264,Jeremy 'not seasonally adjusted' Horpedahl 🍞,22158854,1:15 PM - 4 Apr 2020,If only we had a wealth tax  then Bill Gates couldn't do wasteful stuff like this. Instead his money could have gone to the ,https://twitter.com/michael_nielsen/status/1246457825720553472,Null,127,655
1246531337365815296,Luke Russert,21220931,1:13 PM - 4 Apr 2020,What a MISS! “The ,https://twitter.com/erinallday/status/1246169857533435906,Null,61,144
1246530649155985408,Ann Bowlin,3064597611,1:10 PM - 4 Apr 2020,Null,https://www.cdc.gov/nceh/radiation/emergencies/contamination.htm,Null,0,0
1246529554358861824,Mediocris Kevin,918170632021528576,1:06 PM - 4 Apr 2020,If the ,,Null,10,136
1246529316818767875,Tuur Demeester,40742821,1:05 PM - 4 Apr 2020,I feel angry at the ,https://twitter.com/i/events/1245822074251173889,Null,17,112
1246529533135765506,USA TODAY Graphics,760842779765248000,1:06 PM - 4 Apr 2020,It's difficult to keep your distance in a grocery store or pharmacy  so now the ,https://www.usatoday.com/in-depth/news/2020/04/04/coronavirus-face-mask-tips-how-make-fabric-instructions/2945209001/,Null,84,115
1246519481830010885,Toby Rogers PhD, MPP,42698622,12:26 PM - 4 Apr 2020,YES to: Naturopaths Listening to parents Listening to children Paying attention to the wisdom of the earth Organic food Slowing down Humbling ourselves before uncertainty.  NO to: ,,Null,153,437
1246519284613799936,Brian Kieffer,5873942,12:25 PM - 4 Apr 2020,It was a hoax  it was just like the flu.  Then it was going to be gone like a miracle; masks do no good.  Now 300K are infected and the ,,Null,2,11
1246519246638723073,Newsworthy,847835788981264385,12:25 PM - 4 Apr 2020,Opinion: If ,https://www.youtube.com/watch?v=gliGGrKtnJQ,Null,4,10
1246519048558575622,🐯Carole Baskin-Robbins 🐯,504698246,12:24 PM - 4 Apr 2020,Us: When can we go back outside? The ,,Null,49,63
