tweet_id,account_name,user_id,timestamp,text,links,repiles,retweets,favorites
1246911795111043072,Wothi Mvelase,2682312423,2:25 PM - 5 Apr 2020,Moral of the ,,Null,18,201
1246864055261855744,Scott Gottlieb, MD,40156330,11:15 AM - 5 Apr 2020,We'll win this round  at an almost unbearable cost in treasure and in souls. But ,,Null,469,1418
1246831056830922752,Iran News Wire,1936999562,9:04 AM - 5 Apr 2020,Baghestan  Tehran  ,,Null,32,57
1246825110511718400,Shivam Bansal,494007833,8:40 AM - 5 Apr 2020,Very thoughtful and well written article. We are happy with the positive changes in nature due to lockdown but there is a lesson to be learnt from this ,https://twitter.com/parveenkaswan/status/1246759556794871808,Null,3,26
1246817163807059968,Adam Schiff,133028836,8:09 AM - 5 Apr 2020,Millions of Americans vote by mail every year. Including President Trump.  But now Republicans are doing everything they can to prevent expanded vote by mail  despite a deadly ,https://twitter.com/deanbphillips/status/1246501037881602049,Null,2150,6065
1246815623654637569,M.Farooq Sattar Rizvi,1238013276618981380,8:03 AM - 5 Apr 2020,Null,,Null,41,26
1246813072401940482,Mikel Jollett,594175899,7:52 AM - 5 Apr 2020,There’s an old saying about American politics:  “Republicans are the party that says government doesn't work and then they get elected and prove it.”  (PJ O’Rourke)  I can’t think of a more tragic example of this than the Covid ,,Null,896,2919
1246810722832506880,Dr.Shubh_jain,1052962069383852032,7:43 AM - 5 Apr 2020,We will light the lamp in balcony of our homes against the global ,,Null,5,15
1246789339461423104,Max Jansen,1098254690628833282,6:18 AM - 5 Apr 2020,Hancock admits NHS won't  hit ventilator target before ,https://a.msn.com/r/2/BB12bEai?m=en-gb&referrerID=InAppShare,Null,352,364
1246750365661437952,nicola white mudlark,1093104451,3:43 AM - 5 Apr 2020,This Thames mudlarking find is linked to the smallpox ,,Null,197,982
1246723630270218240,‏فضــــ𝒜𝒷𝒷𝒶𝓈𝒾ــــا,3179056309,1:57 AM - 5 Apr 2020,Is there any leader who is concern about the ,,Null,43,7
1246679208794914816,Eric Feigl-Ding,18831926,11:01 PM - 4 Apr 2020,Lockdowns finally lifted in China... and what happens the first weekend. Caption suggestions? Maybe “How to lose an ,https://twitter.com/QiZHAI/status/1246632280749039617,Null,710,1599
1246650989769302016,💰,416907282,9:08 PM - 4 Apr 2020,floyd mayweather wasnt doin nun but sittin home tryna learn how to say ,,Null,10857,41543
1246648876741738496,飘上青天,1231128218293288960,9:00 PM - 4 Apr 2020,Null,,Null,1,888
1246644786741653506,芷若,1228137443200618496,8:44 PM - 4 Apr 2020,Null,,Null,5,293
1246644666298068994,花一样的少女,1234469207728766984,8:43 PM - 4 Apr 2020,Null,,Null,5,298
1246644565953531905,麋鹿,1234474170001580032,8:43 PM - 4 Apr 2020,Null,,Null,5,319
1246642820338741250,深情如许,1246414541291835392,8:36 PM - 4 Apr 2020,Now the outbreak of the ,,Null,1,102
1246642207165018112,黑木崖,1230034187861676032,8:33 PM - 4 Apr 2020,Null,,Null,2,447
1246639210947174400,云哥,1245778809351286784,8:22 PM - 4 Apr 2020,Null,,Null,17,163
1246900047184310275,Joseph,228134082,1:38 PM - 5 Apr 2020,Sometimes models are not just "imperfect"  they are outright fraud!  It seems to me that the ,,Null,5,0
1246874333844299776,Dr Philippa Whitford,2932558313,11:56 AM - 5 Apr 2020,At the end of lockdown and ,https://twitter.com/approov_io/status/1246725464980434944,Null,73,177
1246862256018796550,John Carr 🇪🇺 🇫🇷 🇬🇧,903229881286348800,11:08 AM - 5 Apr 2020,COVID-19 deaths/day now clearly reducing in Italy. Most affected regions in north of Lombardia and Emilia-Romagna show most significant reductions. Confinement has worked to stop spread of ,,Null,8,18
1246835118569857024,Gregg Gonsalves,30844417,9:20 AM - 5 Apr 2020,"This may be a public health crisis  but as someone who watched the AIDS ,,Null,115,384
1246826929119850498,Ashok Mittal,156303862,8:47 AM - 5 Apr 2020,Null,,Null,5,8
1246825072200790017,Sun Weidong,938072041273430017,8:40 AM - 5 Apr 2020,Light a Diya to stand in solidarity with people of ,,Null,1249,8466
1246811259971960835,M.Farooq Sattar Rizvi,1238013276618981380,7:45 AM - 5 Apr 2020,Null,,Null,57,39
1246783532468445186,Megan Ranney MD MPH,233788247,5:55 AM - 5 Apr 2020,Inherent to ,https://www.propublica.org/article/early-data-shows-african-americans-have-contracted-and-died-of-coronavirus-at-an-alarming-rate/amp?__twitter_impression=true,Null,70,240
1246759097787179012,wagar habib ahmed وقار حبيب,1904524280,4:18 AM - 5 Apr 2020,April 8 at 8 pm dealing with cardiovascular disease during ,,Null,8,22
1246757933091680256,Lionel Page,817270221236879360,4:13 AM - 5 Apr 2020,South Korea's management of its outbreak of COVID-19 has been a great success. However  its numbers give a sobering view about how long it may take to fully suppress the ,,Null,18,32
1246733885838430208,Rappler,330826792,2:38 AM - 5 Apr 2020,"You can’t contain a virus by containing your critics. You can’t control an ,https://www.rappler.com/views/imho/256884-opinion-coronavirus-truth-bomb?utm_medium=Social&utm_source=Twitter#Echobox=1586074309,Null,86,255
1246724831225282565,𝐁𝐢𝐧𝐢𝐬𝐡,1209379907790356480,2:02 AM - 5 Apr 2020,Null,,Null,51,7
1246720233466986496,Calum Steele,3355103686,1:44 AM - 5 Apr 2020,The job of policing during this ,,Null,38,182
1246697123380375552,Roy Douglas KE™️,3730765341,12:12 AM - 5 Apr 2020,Good morning Kenya Covid-19 has become an ,,Null,17,26
1246657321595473926,Trader Scrap,4078919849,9:34 PM - 4 Apr 2020,Floyd can't say ,,Null,179,344
1246637368670433280,性感,1245784110955737093,8:14 PM - 4 Apr 2020,Null,,Null,17,161
1246634049663311878,Kelli Richardson,2263350282,8:01 PM - 4 Apr 2020,To those of you who aren’t practicing social distancing and have decided that this time is the perfect time to party non-stop: you are selfish. I’m holding you personally responsible for the longevity of this ,,Null,16,44
1246629578904240129,井胧,1243357883544133634,7:43 PM - 4 Apr 2020,Null,,Null,7,218
1246620842626125824,Poonam Deswal,4368674057,7:09 PM - 4 Apr 2020,Due to the crisis arising due to the corona virus ,,Null,26,10
1246614068544372736,Anaya,1187002346498166786,6:42 PM - 4 Apr 2020,Dera Sacha Sauda volunteers are ,,Null,32,13
1246871426755223552,DrDinD 🌊🌊🌊🌊🌊,457743272,11:44 AM - 5 Apr 2020,So  another lesson in federal preparedness for Prof ,https://twitter.com/ThisWeekABC/status/1246778870210211842,Null,14,18
1246860726746185728,The New York Times,807095,11:02 AM - 5 Apr 2020,Queen Elizabeth II  in a rare televised speech  will urge Britons to confront the coronavirus with self-discipline and resolve. It is only the third time in her 66-year reign that she has made such an address  apart from her annual Christmas message.,https://nyti.ms/2V20IiJ,Null,563,2070
1246812643568111626,M.Farooq Sattar Rizvi,1238013276618981380,7:51 AM - 5 Apr 2020,Null,,Null,29,26
1246809959851003905,Howard Green, MD,1093893686,7:40 AM - 5 Apr 2020,Physicians abilities to fight the  ,,Null,4,18
