tweet_id,account_name,user_id,timestamp,text,links,repiles,retweets,favorites
1246935522465009666,Caroline Orr,2316383071,3:59 PM - 5 Apr 2020,Wow. Irish Prime Minister Leo Varadkar has re-registered as a doctor with the country's health service and will work one shift a week to help with the ,https://news.sky.com/story/coronavirus-irish-pm-re-registers-as-doctor-to-help-tackle-outbreak-11969029,Null,386,1196
1246935260488773634,COVID-19 watcher,1231053438,3:58 PM - 5 Apr 2020,IRELAND: Irish PM re-registers as doctor to help tackle ,,Null,9,24
1246934079578296322,NPR,5392522,3:53 PM - 5 Apr 2020,WATCH LIVE: Get the latest updates on the coronavirus ,https://twitter.com/i/broadcasts/1PlKQmYAqNYKE,Null,46,48
1246933522025193473,Yaneer Bar-Yam,252608121,3:51 PM - 5 Apr 2020,BREAKING: Coronavirus ,,Null,47,118
1246926426630238210,Caroline Orr,2316383071,3:23 PM - 5 Apr 2020,Oh my god. Navy Capt. Brett Crozier — the one who was ridiculed by Trump and then removed from his position as captain after publicly pleading for help dealing with a coronavirus ,https://www.newsweek.com/navy-captain-brett-crozier-tests-positive-coronavirus-days-after-being-removed-over-leaked-letter-1496204,Null,259,498
1246921805832601601,Colorado Department of Public Health & Environment,331244103,3:04 PM - 5 Apr 2020,Colorado COVID-19 Case Summary for April 5: 4 950 cases  924 hospitalized 54 counties 25 773 people tested 140 deaths  37 ,https://covid19.colorado.gov/case-data,Null,60,57
1246912219834544128,The Spectator Index,1626294277,2:26 PM - 5 Apr 2020,Times Queen Elizabeth II has addressed the nation for non-Christmas speeches:  - Gulf War  February 1991  - Death of Diana  September 1997  - Death of Queen Mother  April 2002  - Diamond Jubilee  June 2012  - Coronavirus ,,Null,1069,3195
1246911195141079042,Mihla,145195148,2:22 PM - 5 Apr 2020,There's nothing prophetic or strange about ,,Null,24,55
1246910483443179520,_Kamo_,1241655314199478272,2:20 PM - 5 Apr 2020,Null,,Null,84,655
1246908500422295552,lady Justice ⚖️ 🇱🇸🇿🇦,869848605015801856,2:12 PM - 5 Apr 2020,Null,,Null,80,593
1246904118087688195,John Burn-Murdoch,43878033,1:54 PM - 5 Apr 2020,Now daily new cases: • Tens of thousands of new cases per day in the US due to simultaneous ,,Null,325,451
1246903584819761152,John Burn-Murdoch,43878033,1:52 PM - 5 Apr 2020,NEW: Sun 5 April update of coronavirus trajectories  Daily new deaths: • US now recording more daily deaths than any country in the world since ,http://ft.com/coronavirus-latest,Null,1809,2441
1246896975628447744,The Associated Press,51241574,1:26 PM - 5 Apr 2020,BREAKING: UK Prime Minister Boris Johnson's office says he's been admitted to the hospital suffering from coronavirus symptoms. Find updates here:,http://apne.ws/pb3l8xB,Null,1271,1452
